city,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
屏东县,26.088636363636365,12.155844155844155,10.356363636363636,3.231818181818181,18.33636363636364,3.1818181818181817,24.418636363636367
汕尾市,23.076396103896105,19.40909090909091,15.931363636363637,3.825909090909092,14.296590909090908,11.238636363636363,21.85863636363636
临沧市,28.351455782312925,28.1069387755102,25.476761904761904,3.956095238095239,7.132857142857144,11.857142857142858,15.50347619047619
Ho Pang,29.12857142857143,29.12857142857143,23.4,2.64,6.324999999999999,9.0,25.74
玉溪市,41.21014925373134,27.76908315565032,29.885820895522397,5.768358208955224,9.025,35.9365671641791,36.98089552238806
来宾市,49.51322544642859,49.423828125000014,46.530703125,10.509999999999998,9.527343750000004,17.77734375,26.189296875
揭阳市,31.326802721088438,31.143537414965987,25.14190476190476,6.157619047619048,19.379166666666663,21.714285714285715,19.06190476190476
台东县,27.89441176470588,14.30168067226891,11.646470588235292,2.310588235294117,17.399264705882352,3.602941176470588,27.89441176470588
高雄市,29.080909090909092,16.114285714285714,13.595454545454544,5.608181818181818,25.870454545454542,3.7954545454545454,23.51363636363636
河池市,39.91048897411312,36.4092042186002,39.86073825503353,10.34187919463088,7.247902684563756,17.796979865771814,15.559261744966442
清远市,45.30469967532469,42.336181006493526,45.2949431818182,10.437386363636362,15.525852272727276,17.201704545454547,31.23244318181817
河源市,37.18911830357143,36.46294642857144,34.87656249999999,8.02078125,15.660742187500007,17.73828125,32.902265625000005
汕头市,27.500071428571424,25.347142857142853,23.607,6.624,18.615,17.425,23.843
贺州市,49.20900269541781,46.6354784366577,49.0356603773585,11.888679245283024,8.727358490566042,13.94811320754717,29.76528301886793
梅州市,32.145459882583175,31.749315068493157,28.917534246575336,7.582054794520548,17.385445205479446,21.804794520547944,25.820479452054798
潮州市,28.899464285714288,28.668750000000006,27.529374999999995,7.389375000000001,20.47265625,21.15625,21.631250000000005
台南市,30.92343750000001,15.351785714285716,13.62375,6.46125,30.92343750000001,3.875,21.373125
德宏傣族景颇族自治州,30.296078431372543,28.30980392156863,26.0370588235294,3.148627450980391,11.825,13.465686274509803,28.4493137254902
柳州市,45.633244406196205,45.45331325301204,42.646626506024106,12.486265060240962,9.432379518072292,15.85843373493976,25.13849397590361
Kong Kyan,29.1,29.1,26.06,2.74,10.1625,13.5,27.6
楚雄彝族自治州,39.83527777777777,23.42630385487528,23.01904761904761,5.119444444444444,5.978075396825395,14.44047619047619,39.83527777777777
韶关市,43.16775696864112,41.79353222996516,43.09731707317073,10.82768292682927,12.209298780487805,20.97560975609756,31.10756097560976
漳州市,29.57062169312169,27.324074074074076,29.25611111111111,5.408148148148149,21.36458333333333,15.226851851851851,22.214722222222232
